Minutes,Type I,Type Ia,Type II,Type III,,
4:09,0.0235,0.0373,0.0143,0.0132,,
4:10,0.0235,0.0373,0.0143,0.0132,,
4:11,0.0235,0.0373,0.0143,0.0132,,
4:12,0.0237,0.0379,0.0145,0.0134,,
4:13,0.0237,0.0379,0.0145,0.0134,,
4:14,0.0237,0.0379,0.0145,0.0134,,
4:15,0.0237,0.0379,0.0145,0.0134,,
4:16,0.0237,0.0379,0.0145,0.0134,,
4:17,0.0237,0.0379,0.0145,0.0134,,
4:18,0.0238,0.0386,0.0147,0.0135,,
4:19,0.0238,0.0386,0.0147,0.0135,,
4:20,0.0238,0.0386,0.0147,0.0135,,
4:21,0.0238,0.0386,0.0147,0.0135,,
4:22,0.0238,0.0386,0.0147,0.0135,,
4:23,0.0238,0.0386,0.0147,0.0135,,
4:24,0.0239,0.0393,0.0149,0.0137,,
4:25,0.0239,0.0393,0.0149,0.0137,,
4:26,0.0239,0.0393,0.0149,0.0137,,
4:27,0.0239,0.0393,0.0149,0.0137,,
4:28,0.0239,0.0393,0.0149,0.0137,,
4:29,0.0239,0.0393,0.0149,0.0137,,
4:30,0.024,0.0401,0.0151,0.0138,,
4:31,0.024,0.0401,0.0151,0.0138,,
4:32,0.024,0.0401,0.0151,0.0138,,
4:33,0.024,0.0401,0.0151,0.0138,,
4:34,0.024,0.0401,0.0151,0.0138,,
4:35,0.024,0.0401,0.0151,0.0138,,
4:36,0.0241,0.0409,0.0153,0.014,,
4:37,0.0241,0.0409,0.0153,0.014,,
4:38,0.0241,0.0409,0.0153,0.014,,
4:39,0.0241,0.0409,0.0153,0.014,,
4:40,0.0241,0.0409,0.0153,0.014,,
4:41,0.0241,0.0409,0.0153,0.014,,
4:42,0.0242,0.0419,0.0155,0.0141,,
4:43,0.0242,0.0419,0.0155,0.0141,,
4:44,0.0242,0.0419,0.0155,0.0141,,
4:45,0.0242,0.0419,0.0155,0.0141,,
4:46,0.0242,0.0419,0.0155,0.0141,,
4:47,0.0242,0.0419,0.0155,0.0141,,
4:48,0.0244,0.043,0.0157,0.0143,,
4:49,0.0244,0.043,0.0157,0.0143,,
4:50,0.0244,0.043,0.0157,0.0143,,
4:51,0.0244,0.043,0.0157,0.0143,,
4:52,0.0244,0.043,0.0157,0.0143,,
4:53,0.0244,0.043,0.0157,0.0143,,
4:54,0.0244,0.0441,0.0159,0.0144,,
4:55,0.0244,0.0441,0.0159,0.0144,,
4:56,0.0244,0.0441,0.0159,0.0144,,
4:57,0.0244,0.0441,0.0159,0.0144,,
4:58,0.0244,0.0441,0.0159,0.0144,,
4:59,0.0244,0.0441,0.0159,0.0144,,
5:00,0.0246,0.0459,0.0161,0.0146,,
5:01,0.0246,0.0459,0.0161,0.0146,,
5:02,0.0246,0.0459,0.0161,0.0146,,
5:03,0.0246,0.0459,0.0161,0.0146,,
5:04,0.0246,0.0459,0.0161,0.0146,,
5:05,0.0246,0.0459,0.0161,0.0146,,
5:06,0.0246,0.0471,0.0163,0.0147,,
5:07,0.0246,0.0471,0.0163,0.0147,,
5:08,0.0246,0.0471,0.0163,0.0147,,
5:09,0.0246,0.0471,0.0163,0.0147,,
5:10,0.0246,0.0471,0.0163,0.0147,,
5:11,0.0246,0.0471,0.0163,0.0147,,
5:12,0.0248,0.0481,0.0165,0.0149,,
5:13,0.0248,0.0481,0.0165,0.0149,,
5:14,0.0248,0.0481,0.0165,0.0149,,
5:15,0.0248,0.0481,0.0165,0.0149,,
5:16,0.0248,0.0481,0.0165,0.0149,,
5:17,0.0248,0.0481,0.0165,0.0149,,
5:18,0.0249,0.049,0.0167,0.015,,
5:19,0.0249,0.049,0.0167,0.015,,
5:20,0.0249,0.049,0.0167,0.015,,
5:21,0.0249,0.049,0.0167,0.015,,
5:22,0.0249,0.049,0.0167,0.015,,
5:23,0.0249,0.049,0.0167,0.015,,
5:24,0.025,0.0499,0.0169,0.0152,,
5:25,0.025,0.0499,0.0169,0.0152,,
5:26,0.025,0.0499,0.0169,0.0152,,
